,test_000,test_001,test_002,test_003,test_004,test_005,test_006,test_007,test_008,test_009,test_010,test_011,test_012,test_013,test_014,test_015,test_016,test_017,test_018,test_019,test_020,test_021,test_022,test_023,test_024,test_025,test_026,test_027,test_028,test_029,test_030,test_031,test_032,test_033,test_034
train_012,0.6401189565658569,0.6707755923271179,0.6551802158355713,0.6576057076454163,0.642152726650238,0.6160567402839661,0.6698248386383057,0.6513256430625916,0.6512390375137329,0.6448997855186462,0.6496774554252625,0.6530866622924805,0.8595513701438904,0.7332766652107239,0.5712941884994507,0.5672635436058044,0.5636049509048462,0.5435521006584167,0.5654072761535645,0.5567525029182434,0.5052323341369629,0.5110158920288086,0.48637908697128296,0.43521544337272644,0.46482500433921814,0.4687918424606323,0.472891628742218,0.49362051486968994,0.4726811647415161,0.47247377038002014,0.4745590388774872,0.4261760413646698,0.41957294940948486,0.43296894431114197,0.3482278287410736
train_013,0.6597177982330322,0.6870086193084717,0.672356903553009,0.6676450967788696,0.6556942462921143,0.6350899338722229,0.672492504119873,0.6809110045433044,0.6626005172729492,0.6515368223190308,0.6591370105743408,0.6516233086585999,0.7371864318847656,0.811384379863739,0.5700820088386536,0.5644235014915466,0.5557143688201904,0.5470794439315796,0.5619485974311829,0.5531566739082336,0.49709001183509827,0.4991377294063568,0.46215519309043884,0.4218912124633789,0.4450390934944153,0.45548149943351746,0.4468235373497009,0.46153751015663147,0.43896570801734924,0.4384070932865143,0.4458456039428711,0.3983057737350464,0.3839799761772156,0.40502047538757324,0.3294141888618469
train_014,0.5499123334884644,0.568408727645874,0.591532289981842,0.5566890835762024,0.5377522110939026,0.5462387800216675,0.5473776459693909,0.5641564726829529,0.5551939606666565,0.5458616018295288,0.5450664162635803,0.5507503151893616,0.5809914469718933,0.5885331630706787,0.676471471786499,0.5630407333374023,0.5616865754127502,0.5483839511871338,0.5672487616539001,0.5482738018035889,0.49480006098747253,0.5036768913269043,0.4572545886039734,0.42491838335990906,0.4436078667640686,0.44616973400115967,0.4380815327167511,0.452488511800766,0.4364667534828186,0.429949551820755,0.4391293525695801,0.39118486642837524,0.37988463044166565,0.400479257106781,0.3323122262954712
train_015,0.5420888066291809,0.5547686815261841,0.5560814738273621,0.5454860329627991,0.5376968383789062,0.5175879001617432,0.5498785376548767,0.5506924390792847,0.5476474761962891,0.5344117283821106,0.5500639081001282,0.5574128031730652,0.5676823854446411,0.5705219507217407,0.5886952877044678,0.7219591736793518,0.5922597050666809,0.5755374431610107,0.5968433022499084,0.5733437538146973,0.5181635618209839,0.5295617580413818,0.4728756844997406,0.44764959812164307,0.4529426693916321,0.4657309055328369,0.45810064673423767,0.465801477432251,0.459358811378479,0.452167809009552,0.4523206055164337,0.405034601688385,0.4021433889865875,0.4190862476825714,0.33100077509880066
train_016,0.5379176735877991,0.561484158039093,0.5473748445510864,0.5549283027648926,0.5360336303710938,0.523483157157898,0.5494402647018433,0.5515491962432861,0.5478154420852661,0.5426746606826782,0.5429558753967285,0.543951153755188,0.579212486743927,0.5833150148391724,0.6033818125724792,0.6180873513221741,0.731001079082489,0.5925356149673462,0.6181907653808594,0.5922284722328186,0.533918559551239,0.5443673729896545,0.48765048384666443,0.4604407250881195,0.4711945652961731,0.48293179273605347,0.4778140187263489,0.48980090022087097,0.47485077381134033,0.46673962473869324,0.4752677381038666,0.4180763065814972,0.41708192229270935,0.4394338130950928,0.35497477650642395
train_017,0.54395991563797,0.5583356618881226,0.5618821978569031,0.5494656562805176,0.5426416993141174,0.5403109192848206,0.5524767637252808,0.5636321902275085,0.5694539546966553,0.5435594916343689,0.561281144618988,0.5530831813812256,0.5712016820907593,0.5802126526832581,0.604388952255249,0.6165571808815002,0.6062348484992981,0.7259246706962585,0.6208848357200623,0.6102906465530396,0.5367940664291382,0.551964282989502,0.48786649107933044,0.4650439918041229,0.4723554253578186,0.48015445470809937,0.46446019411087036,0.4825965464115143,0.46954137086868286,0.460369348526001,0.4665848910808563,0.41978102922439575,0.4134407639503479,0.4371175765991211,0.3426363468170166
train_018,0.5547680854797363,0.5657141208648682,0.562481164932251,0.5571111440658569,0.5384942293167114,0.5303041338920593,0.5530486702919006,0.5638902187347412,0.560745894908905,0.540239691734314,0.5453727841377258,0.5631393194198608,0.5839672684669495,0.5761021971702576,0.59395831823349,0.6035526990890503,0.5992733836174011,0.5866577625274658,0.7284971475601196,0.6024684309959412,0.5260182023048401,0.5536022782325745,0.4816586971282959,0.45963799953460693,0.47579658031463623,0.47648298740386963,0.46533599495887756,0.483452707529068,0.46991798281669617,0.4551287591457367,0.4669981896877289,0.4122864902019501,0.4051608443260193,0.42286381125450134,0.3453770577907562
train_019,0.5480871796607971,0.5693489909172058,0.5663273930549622,0.5489445924758911,0.5443859100341797,0.5296399593353271,0.5531622767448425,0.5684412121772766,0.556585431098938,0.540849506855011,0.5466058254241943,0.5410603880882263,0.5991106033325195,0.588568925857544,0.5950833559036255,0.6105470657348633,0.6030241847038269,0.5975117683410645,0.6246659159660339,0.7202460169792175,0.5419017672538757,0.5470613837242126,0.4948548972606659,0.4657920300960541,0.4788763225078583,0.48158517479896545,0.47300392389297485,0.4871958792209625,0.47292283177375793,0.4649178087711334,0.4703039526939392,0.4162926971912384,0.4069514572620392,0.4336203932762146,0.3487212657928467
train_020,0.5225576162338257,0.543878436088562,0.5301375985145569,0.5158781409263611,0.5023272037506104,0.4841291010379791,0.5158190727233887,0.5203447937965393,0.5264260172843933,0.5029991865158081,0.5061893463134766,0.5128235220909119,0.5609518885612488,0.5482036471366882,0.5628683567047119,0.5648170709609985,0.5632908344268799,0.5642232298851013,0.5934395790100098,0.5836688280105591,0.6959866285324097,0.5909378528594971,0.5630889534950256,0.5144170522689819,0.5083621144294739,0.5030921101570129,0.5125448703765869,0.5041173100471497,0.4873589277267456,0.4746384918689728,0.47363606095314026,0.4217490255832672,0.406512975692749,0.43290844559669495,0.33409181237220764
train_021,0.5184111595153809,0.5337044596672058,0.5303998589515686,0.5091989040374756,0.4982023239135742,0.489639014005661,0.5201221704483032,0.5310428738594055,0.5300697684288025,0.5094776153564453,0.5146811604499817,0.5155164003372192,0.5600222945213318,0.5582175254821777,0.5606308579444885,0.5713768601417542,0.5608535408973694,0.5645294189453125,0.5857543349266052,0.5806070566177368,0.5671214461326599,0.7101078033447266,0.5652360916137695,0.5171981453895569,0.5153146982192993,0.5053777694702148,0.5116457343101501,0.5036328434944153,0.4837615489959717,0.48655271530151367,0.4741862416267395,0.42748451232910156,0.41015246510505676,0.43169134855270386,0.34603217244148254
