train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
6,3,3,1,0,0,0.002164,111,-1,0.6530933380126953
6,4,2,1,0,0,0.001381,146,-1,0.6397457718849182
6,5,1,1,0,0,0.000781,181,-1,0.6316407322883606
6,7,1,1,0,0,0.002664,217,-1,0.6454079747200012
6,8,2,0,0,3,0.001437,218,-1,0.6199362277984619
6,9,3,0,0,3,0.000949,219,-1,0.628572940826416
6,10,4,0,0,3,0.001041,220,-1,0.6310577988624573
6,11,5,0,0,3,0.002134,221,-1,0.6225675940513611
6,12,6,0,0,5,0.030965,222,-1,0.6152578592300415
6,13,7,0,0,5,0.020544,223,-1,0.6375516653060913
6,14,8,0,0,5,0.038963,224,-1,0.508692741394043
6,15,9,0,0,5,0.040001,225,-1,0.5113587975502014
6,16,10,0,0,5,0.051674,226,-1,0.4871191680431366
6,17,11,0,0,5,0.056143,227,-1,0.49489086866378784
6,18,12,0,0,5,0.053683,228,-1,0.5009453296661377
6,19,13,0,0,5,0.052107,229,-1,0.4967288374900818
6,20,14,0,0,2,0.073843,230,-1,0.44135281443595886
6,21,15,0,0,2,0.099053,231,-1,0.44549867510795593
6,22,16,0,0,2,0.14751,232,-1,0.39433932304382324
6,23,17,0,0,6,0.151758,233,-1,0.3782452642917633
6,24,18,0,0,6,0.127508,234,-1,0.3909248411655426
6,25,19,0,0,6,0.152132,235,-1,0.392079621553421
6,26,20,0,0,6,0.168398,236,-1,0.38397127389907837
6,27,21,0,0,6,0.168665,237,-1,0.39669615030288696
6,28,22,0,0,1,0.199453,238,-1,0.37810826301574707
6,29,23,0,0,1,0.218849,239,-1,0.37088295817375183
6,30,24,0,0,1,0.215468,240,-1,0.386935830116272
6,31,25,0,0,1,0.294889,241,-1,0.33883151412010193
6,32,26,0,0,1,0.301731,242,-1,0.3305518329143524
6,33,27,0,0,1,0.307507,243,-1,0.3380291163921356
6,34,28,0,0,4,0.28757,244,-1,0.2862718403339386
7,0,7,1,0,0,0.005351,7,-1,0.6509118676185608
7,1,6,1,0,0,0.000436,42,-1,0.6724731922149658
7,2,5,1,0,0,0.002089,77,-1,0.6735613942146301
7,3,4,1,0,0,0.002726,112,-1,0.6715954542160034
7,4,3,1,0,0,0.004681,147,-1,0.653693437576294
7,5,2,1,0,0,0.003719,182,-1,0.6415229439735413
7,6,1,1,0,0,0.002664,217,-1,0.6405312418937683
7,8,1,0,0,3,0.001437,253,-1,0.666626513004303
7,9,2,0,0,3,0.002247,254,-1,0.6477090716362
7,10,3,0,0,3,0.002182,255,-1,0.6573167443275452
7,11,4,0,0,3,0.001238,256,-1,0.6463417410850525
7,12,5,0,0,5,0.028056,257,-1,0.6218836307525635
7,13,6,0,0,5,0.0145,258,-1,0.6411410570144653
7,14,7,0,0,5,0.031876,259,-1,0.5214239358901978
7,15,8,0,0,5,0.035715,260,-1,0.522451639175415
7,16,9,0,0,5,0.046525,261,-1,0.5020225048065186
7,17,10,0,0,5,0.04896,262,-1,0.5120031833648682
7,18,11,0,0,5,0.043384,263,-1,0.5164048075675964
7,19,12,0,0,5,0.042898,264,-1,0.5185078978538513
7,20,13,0,0,2,0.058339,265,-1,0.45513883233070374
7,21,14,0,0,2,0.079925,266,-1,0.4609600603580475
7,22,15,0,0,2,0.123514,267,-1,0.4026813805103302
7,23,16,0,0,6,0.127783,268,-1,0.3895453214645386
7,24,17,0,0,6,0.106511,269,-1,0.4037235677242279
7,25,18,0,0,6,0.130526,270,-1,0.40821415185928345
7,26,19,0,0,6,0.146495,271,-1,0.3982624113559723
7,27,20,0,0,6,0.147844,272,-1,0.4136267304420471
7,28,21,0,0,1,0.177749,273,-1,0.39677029848098755
7,29,22,0,0,1,0.196625,274,-1,0.39359617233276367
7,30,23,0,0,1,0.193604,275,-1,0.40343454480171204
7,31,24,0,0,1,0.271333,276,-1,0.35907939076423645
7,32,25,0,0,1,0.278603,277,-1,0.35023728013038635
7,33,26,0,0,1,0.283415,278,-1,0.3617786765098572
7,34,27,0,0,4,0.264008,279,-1,0.2904769778251648
8,0,8,0,3,0,0.003732,8,-1,0.6518712639808655
8,1,7,0,3,0,0.002236,43,-1,0.6696287989616394
8,2,6,0,3,0,0.0056,78,-1,0.6700707674026489
8,3,5,0,3,0,0.003501,113,-1,0.6641815304756165
8,4,4,0,3,0,0.003177,148,-1,0.6511895060539246
8,5,3,0,3,0,0.003512,183,-1,0.633829653263092
8,6,2,0,3,0,0.001437,218,-1,0.633938729763031
8,7,1,0,3,0,0.001437,253,-1,0.6654422879219055
8,9,1,1,3,3,0.000167,289,-1,0.6487308740615845
8,10,2,1,3,3,0.00037,290,-1,0.6580023169517517
8,11,3,1,3,3,0.001469,291,-1,0.647709846496582
8,12,4,0,3,5,0.025125,292,-1,0.6271993517875671
8,13,5,0,3,5,0.017599,293,-1,0.6448520421981812
8,14,6,0,3,5,0.036334,294,-1,0.5220385789871216
8,15,7,0,3,5,0.037786,295,-1,0.5212209224700928
8,16,8,0,3,5,0.048901,296,-1,0.5055442452430725
8,17,9,0,3,5,0.051206,297,-1,0.5060167908668518
8,18,10,0,3,5,0.046572,298,-1,0.5164626836776733
8,19,11,0,3,5,0.045493,299,-1,0.5158839821815491
8,20,12,0,3,2,0.063787,300,-1,0.4563676118850708
8,21,13,0,3,2,0.088135,301,-1,0.4597505033016205
8,22,14,0,3,2,0.134152,302,-1,0.40111657977104187
8,23,15,0,3,6,0.14173,303,-1,0.384831964969635
8,24,16,0,3,6,0.118739,304,-1,0.40366923809051514
8,25,17,0,3,6,0.144654,305,-1,0.4042990207672119
8,26,18,0,3,6,0.160583,306,-1,0.3940819501876831
8,27,19,0,3,6,0.161562,307,-1,0.41084444522857666
8,28,20,0,3,1,0.19216,308,-1,0.3969581127166748
8,29,21,0,3,1,0.211158,309,-1,0.38821953535079956
8,30,22,0,3,1,0.20738,310,-1,0.3989644944667816
8,31,23,0,3,1,0.287729,311,-1,0.35518497228622437
8,32,24,0,3,1,0.295984,312,-1,0.34706753492355347
8,33,25,0,3,1,0.302493,313,-1,0.35769495368003845
8,34,26,0,3,4,0.287637,314,-1,0.28971657156944275
9,0,9,0,3,0,0.00359,9,-1,0.6401720643043518
9,1,8,0,3,0,0.003088,44,-1,0.6599050164222717
